Feature,Importance
infant mortality rate (between birth and 11 months per 1000 live births),0.7159089793765794
HALE_Birth,0.22097484996284575
Estimates of rate of homicides (per 100 000 population),0.007462934266078726
Mean Total Cholesterol (crude estimate),0.00661633929534489
"Probability of dying between the exact ages 30 and 70 years from cardiovascular diseases, cancer, diabetes, or chronic respiratory diseases (SDG 3.4.1)",0.005119627708316877
Prevalence of raised blood pressure among adults aged 30-79 years,0.0047851700751057056
Age-standardized suicide rates (per 100 000 population),0.004116701515221098
PM2.5_Exposure,0.0038620197478427217
Dim1_Female,0.003674251936140593
Dim1_Male,0.0034896639976435377
Location_South Africa,0.003328472740787766
Location_Botswana,0.003079788336239788
Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),0.0015788986692811102
ParentLocation_Europe,0.0012762510616557848
Period_cos,0.0011374234373600998
Period,0.0011286337512498683
Undernourishment_Prevalence,0.0010900954237910616
ParentLocation_Western Pacific,0.001061706849633654
Location_Kenya,0.0010467365171177355
ParentLocation_Eastern Mediterranean,0.0008276699210901135
"Prevalence of obesity among adults, BMI ³ 30 (age-standardized estimate) (%)",0.0007850878133224902
"Alcohol, total per capita (15+ years) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",0.0007308922087063016
Location_United Republic of Tanzania,0.0005809185407760192
Location_Zimbabwe,0.0005403118144608703
Location_Syrian Arab Republic,0.0005175381066934183
Period_sin,0.00041873599046324576
Health_Expenditure_pct_GDP,0.00038923686458480213
Location_Namibia,0.0003375307893283811
ParentLocation_South-East Asia,0.00033553633206709934
Location_Uganda,0.0002854441673019043
Location_Burundi,0.00026940672925595123
Location_Puerto Rico,0.00016748784086843187
Location_Solomon Islands,0.00011911802553827358
Location_Gabon,0.0001143833396585246
Location_Bahamas,9.38299678875409e-05
Location_Azerbaijan,9.108208504424203e-05
Location_Pakistan,8.607804287659962e-05
Location_Cameroon,8.495355818884675e-05
Location_Thailand,8.311856329565354e-05
Location_Niger,7.072751366753411e-05
Location_El Salvador,6.986807558662424e-05
Location_Ghana,6.466099307775013e-05
Location_China,6.230736783887946e-05
Location_Mongolia,6.167811396606174e-05
Location_Democratic Republic of the Congo,6.121193938816519e-05
Location_Portugal,5.89910257764397e-05
Location_Zambia,5.8396719507676964e-05
Location_Guinea,5.721876885847529e-05
Location_Ukraine,5.702944818076624e-05
Location_Jamaica,5.680502743788454e-05
Location_Brazil,5.6220682188447707e-05
Location_Congo,5.256737137740794e-05
Location_Madagascar,4.85269142630186e-05
Location_Maldives,4.8131685426306916e-05
Location_Colombia,4.668634829146075e-05
ParentLocation_Americas,4.3321082450941766e-05
Location_United States of America,4.292833757943472e-05
Location_Ethiopia,4.182905406817816e-05
Location_Turkmenistan,4.102644260088906e-05
Location_TÃ¼rkiye,4.092436685831356e-05
"Location_occupied Palestinian territory, including east Jerusalem",3.938378819963384e-05
Location_North Macedonia,3.683463733268442e-05
Location_Guatemala,3.676199239509981e-05
Location_Seychelles,3.3223676640872486e-05
Location_South Sudan,3.2754356541776075e-05
Location_Comoros,3.254324876802968e-05
Location_Panama,3.160699094472067e-05
Location_Libya,3.084287023600239e-05
Location_Malawi,2.9825290554079362e-05
Location_Sao Tome and Principe,2.9799990692966913e-05
Location_Mozambique,2.8665449467272396e-05
Location_Cote d'Ivoire,2.8011553435597663e-05
Location_Russian Federation,2.7916518734833447e-05
Location_Montenegro,2.7885586154652646e-05
Location_Togo,2.779800748810013e-05
Location_Kuwait,2.5407357115134535e-05
Location_Guinea-Bissau,2.534405928837883e-05
Location_Jordan,2.455704232874656e-05
Location_Albania,2.3933404486471206e-05
Location_Suriname,2.1737311355120033e-05
Location_Liberia,2.00820146265926e-05
Location_Yemen,1.9895422316420284e-05
Location_Lithuania,1.958391299194792e-05
Location_Saudi Arabia,1.9338193957973153e-05
Location_Barbados,1.8859768681084445e-05
Location_Eswatini,1.880742192001911e-05
Location_Eritrea,1.8446875993437425e-05
Location_Equatorial Guinea,1.7796509330519435e-05
Location_Tonga,1.6635283759172503e-05
Location_Greece,1.6037799820189248e-05
Location_Egypt,1.5602055603928353e-05
Location_Mauritius,1.506453438215391e-05
Location_Chile,1.5031825009340851e-05
Location_Iran (Islamic Republic of),1.445151368867487e-05
Location_Morocco,1.4338496922385172e-05
Location_Djibouti,1.4129145458336356e-05
Location_New Zealand,1.3764595690903843e-05
Location_Czechia,1.373648287479419e-05
Location_Oman,1.3646512556214036e-05
Location_Armenia,1.3576973877767924e-05
Location_France,1.3285693232304581e-05
Location_Central African Republic,1.325966262904194e-05
Location_Sweden,1.2827425489888663e-05
Location_Sudan,1.2277531440474255e-05
Location_Malta,1.1098217482321632e-05
Location_Benin,1.086889433139881e-05
Location_Netherlands (Kingdom of the),1.0635016529459182e-05
Location_Tajikistan,9.811974474436317e-06
Location_Croatia,8.937532934544996e-06
Location_Georgia,8.8660153211437e-06
Location_India,8.77464761683336e-06
Location_Belize,8.403689655968522e-06
Location_Finland,8.074040056765184e-06
Location_Serbia,7.772132028197477e-06
Location_Guyana,7.73787109594149e-06
Location_Iraq,7.549607934941208e-06
